Actual_Price,Linear_Regression,Random_Forest,XGBoost,Neural_Network,Stacking_Ensemble,Voting_Ensemble
2150,2034.718471582874,2134.9290137434014,2129.331,2179.2754,2103.7407850411773,2092.7958180121755
1000,1556.8006962071063,1382.6969358410643,1530.6088,1779.7322,1410.426244134215,1472.0151131633195
1500,1419.7063496383348,1386.6980482822446,1298.7037,1254.02,1339.7431606629389,1353.5367402399054
1500,1482.6770738158057,1499.9409230769231,1583.2827,1447.6506,1488.8562743681218,1507.905981996939
1000,989.3230389350692,978.7386109829022,965.1368,1308.4766,965.3112423580868,976.1209049761068
4500,6056.9652981075005,5757.6355226516025,5998.8496,5613.5166,5578.82806433989,5790.912777858794
4000,3614.8651398923166,3890.1071464646466,3990.6584,3708.7393,3909.404796149367,3879.172956039145
6275,5881.192204494495,5859.463163052241,5872.6763,5439.9634,5849.063902389131,5861.3554326007115
4000,4058.7104904304374,4004.003787878788,3925.984,3750.9626,4024.8284433534373,3986.6469577478324
5000,5043.641128534609,5000.0,5151.108,4709.559,5007.040897787153,5057.188906821927
3500,3660.4232319120674,3457.529761904762,3457.6914,3537.2107,3425.26292989917,3483.50336488309
2225,2030.93892959703,2123.479892953864,2152.094,2237.327,2094.8473174722976,2105.0686248949664
1000,1064.1500266666935,1000.2777777777778,939.538,1366.9259,1000.519129866715,985.4685067885794
3650,4134.443040301192,4123.286527562112,4200.861,4015.3662,4165.477734237419,4192.492812612316
4500,4019.694908139448,4408.641861041375,4035.875,4059.588,4305.12613713764,4172.032815508186
600,590.1603721117826,599.0021264393413,608.32104,1018.887,583.2408858956081,601.7635507596325
2720,2554.621093555916,2671.1442998405105,2548.058,2690.373,2611.1210041006398,2588.10724601674
3500,3262.002778881934,3460.713804137562,3035.3845,3269.1226,3334.256030080922,3239.762290295784
5605,5216.767716180317,5268.657945585155,5373.6973,4901.5225,5238.038986973509,5261.094076875864
500,530.1505539915256,487.69989177489174,556.16113,1076.1433,507.2235167879177,543.0818690129146
